feature,importance
mfcc_mean_0,0.0
mfcc_mean_1,0.0
mfcc_mean_2,0.0
mfcc_mean_3,0.0
mfcc_mean_4,0.0
mfcc_mean_5,0.0
mfcc_mean_6,0.0
mfcc_mean_7,0.0
mfcc_mean_8,0.0
mfcc_mean_9,0.0
mfcc_std_0,0.0
mfcc_std_1,0.0
mfcc_std_2,0.0
mfcc_std_3,0.0
mfcc_std_4,0.0
mfcc_std_5,0.0
mfcc_std_6,0.0
mfcc_std_7,0.0
mfcc_std_8,0.0
mfcc_std_9,0.0
delta_mean_0,0.0
delta_mean_1,0.0
delta_mean_2,0.0
delta_mean_3,0.0
delta_mean_4,0.0
delta_mean_5,0.0
delta_mean_6,0.0
delta_mean_7,0.0
delta_mean_8,0.0
delta_mean_9,0.0
delta_std_0,0.0
delta_std_1,0.0
delta_std_2,0.0
delta_std_3,0.0
delta_std_4,0.0
delta_std_5,0.0
delta_std_6,0.0
delta_std_7,0.0
delta_std_8,0.0
delta_std_9,0.0
chroma_mean_0,0.0
chroma_mean_1,0.0
chroma_mean_2,0.0
chroma_mean_3,0.0
chroma_mean_4,0.0
chroma_mean_5,0.0
chroma_std_0,0.0
chroma_std_1,0.0
chroma_std_2,0.0
chroma_std_3,0.0
chroma_std_4,0.0
chroma_std_5,0.0
word_count,0.0
repetition_count,0.0
repetition_ratio,0.0
AUC_Random Forest_Prolongatio sample,
