feature,importance
mfcc_mean_1,0.03789425720083586
delta_std_0,0.02493557376608784
mfcc_mean_3,0.014846083146828129
mfcc_mean_7,0.014685493010158425
mfcc_std_0,0.012498696949489498
delta_std_14,0.012472907444209974
delta2_std_0,0.011709541862190549
chroma_mean_9,0.01048027440340773
mfcc_mean_11,0.010337212260362655
mfcc_std_11,0.010072831687613953
chroma_mean_3,0.00966900590664693
chroma_mean_2,0.009612516033526761
mfcc_mean_5,0.009565760516467955
mfcc_mean_19,0.009494264009088786
mfcc_mean_0,0.00948526981910562
delta2_mean_0,0.00943827217992184
chroma_std_9,0.009388790233159928
mfcc_mean_2,0.009210638486235356
delta_mean_5,0.009042483508699229
chroma_mean_1,0.008524939642173822
mfcc_mean_15,0.008453504136502836
delta_std_11,0.00841640853180148
chroma_mean_0,0.008359087010704888
delta2_mean_1,0.00835593557483596
delta_std_5,0.008294143202598013
mfcc_std_14,0.008266932132861586
chroma_mean_4,0.008229518213113988
mfcc_std_7,0.008129282124379593
mfcc_mean_17,0.008067760368235024
chroma_mean_7,0.007572811179332186
mfcc_std_1,0.007406224581342154
delta_std_15,0.007390236115385219
chroma_mean_8,0.00738519039718051
chroma_std_8,0.0073060236653830915
delta2_std_18,0.007256286309797364
mfcc_mean_9,0.007245476536548504
delta_std_8,0.0071429379335608105
chroma_mean_11,0.007017164370616125
chroma_std_10,0.007005003196858501
delta2_std_16,0.006977103054647802
delta2_std_11,0.006951130619780815
delta_std_19,0.006903068719125078
delta2_std_14,0.00682831682841078
delta2_mean_17,0.006775426615688379
chroma_std_1,0.006747287787775898
delta_std_12,0.006721958930436296
mfcc_std_13,0.0066794972232986135
delta_std_2,0.006644759196184981
mfcc_mean_12,0.006642301014359561
chroma_std_0,0.006590232297130025
mfcc_std_3,0.006541584003561378
delta_mean_4,0.006498749961282151
mfcc_std_12,0.006495270447491046
mfcc_std_6,0.006486973363501685
delta2_std_7,0.00643215682690356
delta2_std_1,0.006424494854456089
mfcc_mean_13,0.0064045934818255604
delta_std_16,0.006397095718748611
delta_std_4,0.006388913664576118
mfcc_mean_10,0.006363281709490786
delta_std_7,0.006357726817648997
delta2_std_8,0.006350667599909816
mfcc_std_10,0.006343670779669855
mfcc_std_18,0.006322404239823882
mfcc_mean_4,0.0063070058226859784
delta_std_3,0.0062570137670490845
mfcc_std_17,0.006252040712742588
delta_std_10,0.0062400119480934555
delta2_mean_2,0.006227614845864323
chroma_std_5,0.006227229822782132
delta2_std_5,0.006181507928688011
delta2_std_15,0.006128413667613789
delta2_mean_10,0.006118983951262122
chroma_mean_5,0.006118825073416395
delta_mean_3,0.0060693103237970825
delta_mean_6,0.006068465441533182
delta_mean_10,0.0060529939380849175
chroma_std_2,0.0060469045951210285
delta2_mean_16,0.006030166866185447
chroma_std_7,0.006011164618465208
delta2_mean_9,0.006007869908373602
chroma_std_4,0.005963179327987822
delta2_std_4,0.005958397827041357
delta2_mean_6,0.005948231899102124
mfcc_mean_18,0.005943505461809772
delta_std_13,0.00589608736975802
mfcc_std_4,0.005879570051234484
delta2_std_10,0.005864553917746511
chroma_std_3,0.005774285133103852
delta_std_9,0.005766972327899943
mfcc_std_16,0.005761156955789394
mfcc_std_19,0.005758840894783055
delta_mean_9,0.005743410689810751
delta_mean_8,0.005701566135013988
delta_mean_13,0.005680384874505413
delta_mean_16,0.005663518335687459
chroma_std_11,0.005641265151148288
delta2_std_2,0.005614761521788429
delta2_std_12,0.005607075341365652
delta2_mean_11,0.005590685044507684
chroma_mean_6,0.005568005978091536
delta_mean_1,0.005559130763480539
delta2_mean_19,0.005539865754635312
delta2_std_3,0.005524901745282425
delta_mean_7,0.005519050938261719
delta_std_1,0.005512281627088111
delta2_mean_5,0.00549187241430745
delta_std_6,0.005474038927091552
delta2_mean_14,0.005441698371740555
delta_std_17,0.005414884948583628
delta_mean_0,0.005392845787374949
delta2_mean_8,0.005358084401223138
delta_mean_11,0.005355260029967382
delta_mean_15,0.0053506087960966744
chroma_mean_10,0.005290123088167953
mfcc_mean_16,0.005260740851060078
delta2_mean_12,0.005220773789000198
mfcc_std_9,0.005191210678141918
delta_std_18,0.005190535801448101
delta2_mean_4,0.005183821488956532
delta2_std_9,0.005161393297304287
delta2_std_13,0.00506941925034367
delta2_mean_3,0.005061298797280607
delta2_mean_7,0.005059464304649871
delta_mean_12,0.0050318625934953455
delta_mean_19,0.005031370393349649
delta2_std_6,0.005019178953659454
delta_mean_17,0.004982054130996248
mfcc_std_8,0.004889836104596852
mfcc_std_15,0.004845764753706947
mfcc_std_5,0.004817937066427154
mfcc_mean_14,0.004815431050952477
delta2_mean_13,0.004812990861225772
delta2_std_17,0.004783424820789066
delta2_std_19,0.004749880338314218
mfcc_std_2,0.004651822807042429
delta_mean_18,0.004604313450228037
mfcc_mean_8,0.004530012889348702
delta_mean_2,0.004520926754672567
chroma_std_6,0.004410486066811533
delta_mean_14,0.004298460443513399
delta2_mean_15,0.00418549834184875
delta2_mean_18,0.003973253779800032
mfcc_mean_6,0.0038178076748244076
transcript_length,0.0
word_count,0.0
repetition_count,0.0
repetition_ratio,0.0
unique_ratio,0.0
