file,label,snr_before,snr_after,flat_before,flat_after,hf_before,hf_after
F_0050_10y9m_1 (mp3cut.net)10.mp3,Prolongatio sample,12.678068,21.808467864990234,0.032291535,0.026720246,0.00676737,0.025859693
F_0050_10y9m_1 (mp3cut.net)7.mp3,Prolongatio sample,14.871822,19.550416946411133,0.013176844,0.004224946,0.047957316,0.15780431
F_0050_10y9m_1 (mp3cut.net)8.mp3,Prolongatio sample,22.069664,39.14566421508789,0.013291173,0.0038040704,0.034568034,0.16854335
F_0050_10y9m_1 (mp3cut.net)9.mp3,Prolongatio sample,13.360081,29.39556312561035,0.014223892,0.008075231,0.15953653,0.3892059
F_0111_9y6m_1 (mp3cut.net)2.mp3,Prolongatio sample,12.912296,30.51511573791504,0.04888893,0.008935117,0.058963284,0.25512764
F_0111_9y6m_1 (mp3cut.net)3.mp3,Prolongatio sample,15.417672,35.8582763671875,0.01378134,0.005704485,0.019652745,0.034368064
F_0111_9y6m_1 (mp3cut.net)4.mp3,Prolongatio sample,20.43673,39.306312561035156,0.01490221,0.005372471,0.0002109647,0.0008728969
F_0128_7y9m_1 (mp3cut.net)1.mp3,Prolongatio sample,9.982251,9.67160415649414,0.016216101,0.0010059894,0.0006445873,0.0031515157
F_0128_7y9m_1 (mp3cut.net)3.mp3,Prolongatio sample,7.7693634,15.561385154724121,0.015498842,0.0106078265,0.0010207341,0.0075996933
F_0560_10y0m_1 (mp3cut.net)1.mp3,Prolongatio sample,9.729985,17.093978881835938,0.03713893,0.02044903,0.0033533308,0.0026900545
F_0811_10y6m_1 (mp3cut.net)1.mp3,Prolongatio sample,13.320013,24.776323318481445,0.037676867,0.015547619,0.19030662,0.37008715
F_0811_10y6m_1 (mp3cut.net)3.mp3,Prolongatio sample,13.000156,29.749847412109375,0.039779935,0.008060312,0.15503885,0.18523845
F_0988_12y8m_1 (mp3cut.net)3.mp3,Prolongatio sample,16.239838,31.452455520629883,0.04382351,0.012000226,0.11438196,0.37900835
F_1116_09y6m_1 (mp3cut.net)5.mp3,Prolongatio sample,16.237556,54.210655212402344,0.010117849,0.012703105,0.001257885,0.0026450043
F_1116_09y6m_1 (mp3cut.net)7.mp3,Prolongatio sample,14.261175,43.65239715576172,0.02114356,0.010937223,0.05971127,0.13930288
M_0015_11y8m_1 (mp3cut.net)1.mp3,Prolongatio sample,24.228403,41.27092361450195,0.088330865,0.055099584,0.011292762,0.018007655
M_0016_07y10m_1 (mp3cut.net).mp3,Prolongatio sample,9.391421,24.663808822631836,0.019399822,0.01544326,0.07339397,0.12501839
M_0025_11y10m_1 (mp3cut.net)1.mp3,Prolongatio sample,7.4856324,40.477684020996094,0.018602556,0.025553107,0.032890122,0.1466096
M_0025_11y10m_1 (mp3cut.net)3.mp3,Prolongatio sample,6.329284,17.792402267456055,0.06467699,0.057196762,0.22866559,0.45925945
M_0025_11y10m_1 (mp3cut.net)4.mp3,Prolongatio sample,9.164104,15.442763328552246,0.047485925,0.04914261,0.011013484,0.012854123
M_0030_12y7m_1 (mp3cut.net)4.mp3,Prolongatio sample,14.394451,29.587615966796875,0.0020354078,0.0031793674,0.0009471918,0.0010338103
